Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
6,ALL,Corbin Bosch,MI,X_FACTOR_SUBSTITUTE,13
7,ALL,Mitchell Santner,MI,PLAYING,7
9,ALL,Hardik Pandya,MI,PLAYING,5
6.5,ALL,Wiaan Mulder,SRH,X_FACTOR_SUBSTITUTE,16
7,ALL,Kamindu Mendis,SRH,NOT_PLAYING,0
8.5,ALL,Abhishek Sharma,SRH,PLAYING,2
6.5,ALL,Will Jacks,MI,PLAYING,2
9,WK,Heinrich Klaasen,SRH,PLAYING,5
7.5,WK,Ishan Kishan,SRH,PLAYING,3
8,WK,Ryan Rickelton,MI,PLAYING,1
5,WK,KL Shrijith,MI,NOT_PLAYING,0
6,WK,Robin Minz,MI,X_FACTOR_SUBSTITUTE,16
8,BAT,Rohit Sharma,MI,X_FACTOR_SUBSTITUTE,12
9,BAT,Suryakumar Yadav,MI,PLAYING,3
9,BAT,Travis Head,SRH,PLAYING,1
5,BAT,Sachin Baby,SRH,X_FACTOR_SUBSTITUTE,13
6,BAT,Atharva Taide,SRH,NOT_PLAYING,0
6,BAT,Abhinav Manohar,SRH,X_FACTOR_SUBSTITUTE,12
7.5,BAT,K Nitish Reddy,SRH,PLAYING,4
8.5,BAT,Tilak Varma,MI,PLAYING,4
5,BAT,Smaran-R,SRH,NOT_PLAYING,0
5.5,BAT,Raj Angad Bawa,MI,X_FACTOR_SUBSTITUTE,15
7.5,BAT,Naman Dhir,MI,PLAYING,6
7,BAT,Aniket Verma,SRH,PLAYING,6
6,BAT,Bevon Jacobs,MI,NOT_PLAYING,0
6.5,BOWL,Karn Sharma,MI,PLAYING,11
6.5,BOWL,Jaydev Unadkat,SRH,X_FACTOR_SUBSTITUTE,14
7.5,BOWL,Deepak Chahar,MI,PLAYING,8
8,BOWL,Mohammed Shami,SRH,PLAYING,9
8,BOWL,Pat Cummins,SRH,PLAYING,7
8,BOWL,Trent Boult,MI,PLAYING,9
8.5,BOWL,Harshal Patel,SRH,PLAYING,8
7,BOWL,Adam Zampa,SRH,NOT_PLAYING,0
9,BOWL,Jasprit Bumrah,MI,PLAYING,10
6,BOWL,Reece Topley,MI,NOT_PLAYING,0
6.5,BOWL,Zeeshan Ansari,SRH,PLAYING,10
6,BOWL,Rahul Chahar,SRH,X_FACTOR_SUBSTITUTE,15
5,BOWL,Arjun Tendulkar,MI,NOT_PLAYING,0
6.5,BOWL,Simarjeet- Singh,SRH,NOT_PLAYING,0
6,BOWL,Mujeeb-ur-Rahman,MI,NOT_PLAYING,0
6.5,BOWL,Ashwani Kumar,MI,X_FACTOR_SUBSTITUTE,14
6,BOWL,Satyanarayana Raju,MI,NOT_PLAYING,0
7,BOWL,Vignesh Puthur,MI,NOT_PLAYING,0
6.5,BOWL,Eshan Malinga,SRH,PLAYING,11
