Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
5.5,ALL,Ajay Mandal,DC,NOT_PLAYING,0
8,ALL,Axar Patel,DC,PLAYING,5
6.5,ALL,Donovan Ferreira,DC,NOT_PLAYING,0
5,ALL,Madhav Tiwari,DC,X_FACTOR_SUBSTITUTE,15
5,ALL,Manvanth Kumar L,DC,NOT_PLAYING,0
7,ALL,Vipraj Nigam,DC,PLAYING,7
8,ALL,Krunal Pandya,RCB,PLAYING,7
7,ALL,Liam Livingstone,RCB,X_FACTOR_SUBSTITUTE,15
6,ALL,Manoj Bhandage,RCB,X_FACTOR_SUBSTITUTE,14
5.5,ALL,Mohit Rathee,RCB,NOT_PLAYING,0
6.5,ALL,Romario Shepherd,RCB,PLAYING,4
6,ALL,Swapnil Singh,RCB,X_FACTOR_SUBSTITUTE,16
7.5,WK,Abishek Porel,DC,PLAYING,2
9,WK,Lokesh Rahul,DC,PLAYING,4
7.5,WK,Jitesh Sharma,RCB,PLAYING,5
9,WK,Philip Salt,RCB,NOT_PLAYING,0
7,BAT,Ashutosh Sharma,DC,X_FACTOR_SUBSTITUTE,12
8,BAT,Faf du Plessis,DC,PLAYING,1
6.5,BAT,Jake Fraser-McGurk,DC,X_FACTOR_SUBSTITUTE,14
6.5,BAT,Karun Nair,DC,PLAYING,3
6,BAT,Sameer Rizvi,DC,NOT_PLAYING,0
8,BAT,Tristan Stubbs,DC,PLAYING,6
7.5,BAT,Devdutt Padikkal,RCB,X_FACTOR_SUBSTITUTE,12
6.5,BAT,Jacob Bethell,RCB,PLAYING,2
8.5,BAT,Rajat Patidar,RCB,PLAYING,3
5.5,BAT,Swastik Chikara,RCB,NOT_PLAYING,0
7.5,BAT,Tim David,RCB,PLAYING,6
9,BAT,Virat Kohli,RCB,PLAYING,1
6,BOWL,Darshan Nalkande,DC,NOT_PLAYING,0
6,BOWL,Dushmantha Chameera,DC,PLAYING,9
8.5,BOWL,Kuldeep Yadav,DC,PLAYING,10
9,BOWL,Mitchell Starc,DC,PLAYING,8
7,BOWL,Mohit Sharma,DC,X_FACTOR_SUBSTITUTE,13
7.5,BOWL,Mukesh Kumar,DC,PLAYING,11
6.5,BOWL,T Natarajan,DC,NOT_PLAYING,0
5.5,BOWL,Tripurana Vijay,DC,X_FACTOR_SUBSTITUTE,16
5,BOWL,Abhinandan Singh,RCB,NOT_PLAYING,0
8,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,8
8.5,BOWL,Josh Hazlewood,RCB,PLAYING,10
6.5,BOWL,Lungi Ngidi,RCB,NOT_PLAYING,0
6.5,BOWL,Nuwan Thushara,RCB,NOT_PLAYING,0
6.5,BOWL,Rasikh Salam,RCB,X_FACTOR_SUBSTITUTE,13
6.5,BOWL,Suyash Sharma,RCB,PLAYING,9
7.5,BOWL,Yash Dayal,RCB,PLAYING,11
