Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
9,BAT,Virat Kohli,RCB,PLAYING,1
8.5,WK,Philip Salt,RCB,PLAYING,2
7,BAT,Devdutt Padikkal,RCB,PLAYING,3
8.5,BAT,Rajat Patidar,RCB,PLAYING,4
8,ALL,Liam Livingstone,RCB,PLAYING,5
7.5,WK,Jitesh Sharma,RCB,PLAYING,6
7.5,BAT,Tim David,RCB,PLAYING,7
8,ALL,Krunal Pandya,RCB,PLAYING,8
8,BOWL,Bhuvneshwar Kumar,RCB,PLAYING,9
8.5,BOWL,Josh Hazlewood,RCB,PLAYING,10
7.5,BOWL,Yash Dayal,RCB,PLAYING,11
9,BAT,Yashasvi Jaiswal,RR,PLAYING,1
6,BAT,Shubham Dubey,RR,PLAYING,2
7,ALL,Nitish Rana,RR,PLAYING,3
8.5,ALL,Riyan Parag,RR,PLAYING,4
8,WK,Dhruv Jurel,RR,PLAYING,5
8,BAT,Shimron Hetmyer,RR,PLAYING,6
7.5,ALL,Wanindu Hasaranga,RR,PLAYING,7
8.5,BOWL,Jofra Archer,RR,PLAYING,8
7.5,BOWL,Maheesh Theekshana,RR,PLAYING,9
7,BOWL,Sandeep Sharma,RR,PLAYING,10
7,BOWL,Tushar Deshpande,RR,PLAYING,11
