Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
5.5,ALL,Anukul Sudhakar Roy,KKR,X_FACTOR_SUBSTITUTE,15
6,ALL,Ramandeep Singh,KKR,NOT_PLAYING,0
7,ALL,Moeen Ali,KKR,NOT_PLAYING,0
7.5,ALL,Andre Russell,KKR,PLAYING,6
9,ALL,Sunil Narine,KKR,PLAYING,5
5.5,ALL,Musheer Khan,PBKS,X_FACTOR_SUBSTITUTE,13
8,ALL,Marco Jansen,PBKS,PLAYING,9
6,ALL,Aaron Hardie,PBKS,NOT_PLAYING,0
6.5,ALL,Azmatullah Omarzai,PBKS,PLAYING,8
7,ALL,Marcus Stoinis,PBKS,NOT_PLAYING,0
7.5,ALL,Glenn Maxwell,PBKS,PLAYING,7
5.5,WK,Luvnith Sisodia,KKR,X_FACTOR_SUBSTITUTE,16
6.5,WK,Rahmanullah Gurbaz,KKR,PLAYING,1
7.5,WK,Quinton de Kock,KKR,NOT_PLAYING,0
7.5,WK,Prabhsimran Singh,PBKS,PLAYING,1
6,WK,Vishnu Vinod,PBKS,NOT_PLAYING,0
7,WK,Josh Inglis,PBKS,PLAYING,4
7,BAT,Angkrish Raghuvanshi,KKR,X_FACTOR_SUBSTITUTE,14
6.5,BAT,Rovman Powell,KKR,PLAYING,7
7,BAT,Rinku Singh,KKR,PLAYING,4
7.5,BAT,Venkatesh Iyer,KKR,PLAYING,2
6.5,BAT,Manish Pandey,KKR,X_FACTOR_SUBSTITUTE,13
8.5,BAT,Ajinkya Rahane,KKR,PLAYING,3
5,BAT,Harnoor Singh Pannu,PBKS,NOT_PLAYING,0
5,BAT,Pyla Avinash,PBKS,NOT_PLAYING,0
5.5,BAT,Suryansh Shedge,PBKS,X_FACTOR_SUBSTITUTE,16
8,BAT,Priyansh Arya,PBKS,PLAYING,2
7.5,BAT,Nehal Wadhera,PBKS,PLAYING,6
7,BAT,Shashank Singh,PBKS,PLAYING,5
9,BAT,Shreyas Iyer,PBKS,PLAYING,3
8.5,BOWL,Harshit Rana,KKR,PLAYING,10
7.5,BOWL,Vaibhav Arora,KKR,PLAYING,8
6,BOWL,Mayank Markande,KKR,NOT_PLAYING,0
5.5,BOWL,Chetan Sakariya,KKR,PLAYING,9
6.5,BOWL,Spencer Johnson,KKR,NOT_PLAYING,0
9,BOWL,Varun Chakravarthy,KKR,PLAYING,11
7,BOWL,Anrich Nortje,KKR,X_FACTOR_SUBSTITUTE,12
6,BOWL,Harpreet Brar,PBKS,X_FACTOR_SUBSTITUTE,12
5.5,BOWL,Kuldeep Sen,PBKS,NOT_PLAYING,0
8.5,BOWL,Arshdeep Singh,PBKS,PLAYING,11
6.5,BOWL,Xavier Bartlett,PBKS,NOT_PLAYING,0
6.5,BOWL,Vyshak Vijaykumar,PBKS,X_FACTOR_SUBSTITUTE,15
5.5,BOWL,Pravin Dubey,PBKS,X_FACTOR_SUBSTITUTE,14
6.5,BOWL,Yash Thakur,PBKS,NOT_PLAYING,0
8.5,BOWL,Yuzvendra Chahal,PBKS,PLAYING,10
