Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
5.5,ALL,Musheer Khan,PBKS,X_FACTOR_SUBSTITUTE,15
8,ALL,Marco Jansen,PBKS,PLAYING,7
6,ALL,Aaron Hardie,PBKS,NOT_PLAYING,0
6.5,ALL,Azmatullah Omarzai,PBKS,PLAYING,8
7,ALL,Marcus Stoinis,PBKS,NOT_PLAYING,0
7.5,ALL,Glenn Maxwell,PBKS,NOT_PLAYING,0
5,ALL,Ramakrishna Ghosh,CHE,X_FACTOR_SUBSTITUTE,16
6.5,ALL,Sam Curran,CHE,PLAYING,3
6,ALL,Jamie Overton,CHE,X_FACTOR_SUBSTITUTE,14
7,ALL,Ravichandran Ashwin,CHE,X_FACTOR_SUBSTITUTE,13
8,ALL,Ravindra Jadeja,CHE,PLAYING,4
8,WK,Prabhsimran Singh,PBKS,X_FACTOR_SUBSTITUTE,12
6,WK,Vishnu Vinod,PBKS,NOT_PLAYING,0
7,WK,Josh Inglis,PBKS,PLAYING,2
5,WK,Vansh Bedi,CHE,NOT_PLAYING,0
7,WK,Devon Conway,CHE,NOT_PLAYING,0
7.5,WK,MS Dhoni,CHE,PLAYING,8
5,BAT,Harnoor Singh Pannu,PBKS,NOT_PLAYING,0
5,BAT,Pyla Avinash,PBKS,NOT_PLAYING,0
5.5,BAT,Suryansh Shedge,PBKS,PLAYING,9
8.5,BAT,Priyansh Arya,PBKS,PLAYING,1
7.5,BAT,Nehal Wadhera,PBKS,PLAYING,4
7,BAT,Shashank Singh,PBKS,PLAYING,5
9,BAT,Shreyas Iyer,PBKS,PLAYING,3
6.5,BAT,Ayush Mhatre,CHE,PLAYING,1
5,BAT,Andre Siddharth,CHE,NOT_PLAYING,0
6,BAT,Shaik Rasheed,CHE,PLAYING,2
6.5,BAT,Dewald Brevis,CHE,PLAYING,5
7,BAT,Rachin Ravindra,CHE,NOT_PLAYING,0
8,BAT,Shivam Dube,CHE,PLAYING,6
5.5,BAT,Rahul Tripathi,CHE,NOT_PLAYING,0
6,BAT,Deepak Hooda,CHE,PLAYING,7
5.5,BAT,Vijay Shankar,CHE,NOT_PLAYING,0
6,BOWL,Harpreet Brar,PBKS,PLAYING,6
5.5,BOWL,Kuldeep Sen,PBKS,NOT_PLAYING,0
8.5,BOWL,Arshdeep Singh,PBKS,PLAYING,11
6.5,BOWL,Xavier Bartlett,PBKS,X_FACTOR_SUBSTITUTE,13
6.5,BOWL,Vyshak Vijaykumar,PBKS,X_FACTOR_SUBSTITUTE,16
5.5,BOWL,Pravin Dubey,PBKS,X_FACTOR_SUBSTITUTE,14
6.5,BOWL,Yash Thakur,PBKS,NOT_PLAYING,0
8.5,BOWL,Yuzvendra Chahal,PBKS,PLAYING,10
8,BOWL,Matheesha Pathirana,CHE,PLAYING,11
8.5,BOWL,Noor Ahmad,CHE,PLAYING,9
6.5,BOWL,Anshul Kamboj,CHE,X_FACTOR_SUBSTITUTE,12
7,BOWL,Nathan Ellis,CHE,NOT_PLAYING,0
6.5,BOWL,Mukesh Choudhary,CHE,NOT_PLAYING,0
5.5,BOWL,Kamlesh Nagarkoti,CHE,X_FACTOR_SUBSTITUTE,15
8,BOWL,Khaleel Ahmed,CHE,PLAYING,10
6,BOWL,Shreyas Gopal,CHE,NOT_PLAYING,0
