Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder

9,ALL,Sunil Narine,KKR,PLAYING,1
7,WK,Rahmanullah Gurbaz,KKR,PLAYING,0
8,BAT,Ajinkya Rahane,KKR,PLAYING,4
7,BAT,Angkrish Raghuvanshi,KKR,PLAYING,13
8,BAT,Venkatesh Iyer,KKR,PLAYING,4
7.5,BAT,Rinku Singh,KKR,PLAYING,5
8,ALL,Andre Russell,KKR,PLAYING,6
6.5,ALL,Ramandeep Singh,KKR,PLAYING,7
7,ALL,Moeen Ali,KKR,PLAYING,9
9,BOWL,Varun Chakravarthy,KKR,PLAYING,11
7,BOWL,Vaibhav Arora,KKR,PLAYING,8


9,BAT,Yashasvi Jaiswal,RR,PLAYING,1
5,BAT,Vaibhav Suryavanshi,RR,PLAYING,12
5,WK,Kunal Singh Rathore,RR,PLAYING,16
6,BOWL,Akash Madhwal,RR,PLAYING,15
6.5,ALL,Yudhvir Singh Charak,RR,PLAYING,13
8.5,ALL,Riyan Parag,RR,PLAYING,4
8,WK,Dhruv Jurel,RR,PLAYING,5
8,BAT,Shimron Hetmyer,RR,PLAYING,6
7.5,ALL,Wanindu Hasaranga,RR,PLAYING,7
8.5,BOWL,Jofra Archer,RR,PLAYING,8
7.5,BOWL,Maheesh Theekshana,RR,PLAYING,9
